Timestamp,X,Y,Z
1.533,0.17357962,-0.1604115,9.812635
1.555,0.16759412,-0.16400282,9.812635
1.578,0.16160862,-0.1592144,9.79827
1.601,0.17118542,-0.15322891,9.8042555
1.624,0.16400282,-0.16639702,9.807847
1.645,0.16759412,-0.1592144,9.800665
1.667,0.17357962,-0.16280572,9.803059
1.689,0.18195933,-0.16160862,9.79827
1.711,0.16280572,-0.17238252,9.805453
1.737,0.17357962,-0.17717093,9.80665
1.76,0.15562311,-0.16879122,9.811439
1.782,0.16639702,-0.16400282,9.799467
1.804,0.17357962,-0.16759412,9.803059
1.83,0.17238252,-0.16400282,9.7958765
1.852,0.16519992,-0.16519992,9.813833
1.874,0.16160862,-0.1388637,9.805453
1.895,0.17477672,-0.17717093,9.797073
1.918,0.16400282,-0.16280572,9.7958765
1.941,0.18674773,-0.17238252,9.801862
1.967,0.1604115,-0.15083471,9.801862
1.989,0.17836803,-0.16519992,9.8042555
2.011,0.16400282,-0.15203181,9.807847
2.039,0.16759412,-0.14604631,9.801862
2.06,0.15801731,-0.1340753,9.799467
2.083,0.17357962,-0.15682021,9.801862
2.104,0.15562311,-0.14963761,9.807847
2.126,0.17357962,-0.17118542,9.805453
2.15,0.17118542,-0.16998832,9.800665
2.176,0.17118542,-0.16759412,9.79827
2.201,0.17357962,-0.1604115,9.809045
2.224,0.17357962,-0.15442601,9.793482
2.248,0.16400282,-0.1592144,9.801862
2.27,0.16639702,-0.16280572,9.809045
2.294,0.16639702,-0.16280572,9.809045
2.317,0.16759412,-0.17597382,9.792285
2.34,0.17238252,-0.16519992,9.792285
2.361,0.17597382,-0.16400282,9.797073
2.383,0.16639702,-0.15322891,9.809045
2.409,0.17118542,-0.16160862,9.801862
2.433,0.16998832,-0.15562311,9.809045
2.458,0.16879122,-0.15682021,9.801862
2.481,0.17836803,-0.16400282,9.809045
2.503,0.16759412,-0.16519992,9.805453
2.527,0.17477672,-0.16160862,9.7958765
2.558,0.17477672,-0.1604115,9.801862
2.58,0.18315643,-0.16400282,9.80665
2.603,0.17357962,-0.16879122,9.809045
2.625,0.17717093,-0.1604115,9.793482
2.648,0.17357962,-0.15203181,9.805453
