Barometer,currentAvg,AvgBefore_2_Second,Pstart,Pend,CurrentFloor
894.57086,894.5762,894.5762,895.0365,0.0,0.0,
894.5725,894.5762,894.5762,895.0365,0.0,0.0,
894.5584,894.5762,894.5762,895.0365,0.0,0.0,
894.55615,894.5762,894.5762,895.0365,0.0,0.0,
894.5459,894.5762,894.5762,895.0365,0.0,0.0,
894.5387,894.5607,894.5762,895.0365,0.0,0.0,
894.54364,894.5607,894.5762,895.0365,0.0,0.0,
894.5232,894.5607,894.5762,895.0365,0.0,0.0,
894.5199,894.5607,894.5762,895.0365,0.0,0.0,
894.51825,894.5607,894.5762,895.0365,0.0,0.0,
894.52954,894.5607,894.5762,895.0365,0.0,0.0,
894.5206,894.527,894.527,895.0365,0.0,0.0,
894.5206,894.527,894.527,895.0365,0.0,0.0,
894.5239,894.527,894.527,895.0365,0.0,0.0,
894.5239,894.527,894.527,895.0365,0.0,0.0,
894.5203,894.527,894.527,895.0365,0.0,0.0,
894.5203,894.527,894.527,895.0365,0.0,0.0,
894.522,894.5218,894.527,895.0365,0.0,0.0,
894.5115,894.5218,894.527,895.0365,0.0,0.0,
894.5098,894.5218,894.527,895.0365,0.0,0.0,
894.5082,894.5218,894.527,895.0365,0.0,0.0,
894.5095,894.5218,894.527,895.0365,0.0,0.0,
894.4946,894.5218,894.527,895.0365,0.0,0.0,
894.5012,894.50665,894.50665,895.0365,0.0,0.0,
894.49567,894.50665,894.50665,895.0365,0.0,0.0,
894.49536,894.50665,894.50665,895.0365,0.0,0.0,
894.4855,894.50665,894.50665,895.0365,0.0,0.0,
894.4739,894.50665,894.50665,895.0365,0.0,0.0,
894.4706,894.50665,894.50665,895.0365,0.0,0.0,
894.4673,894.4842,894.50665,895.0365,0.0,0.0,
894.45404,894.4842,894.50665,895.0365,0.0,0.0,
894.46063,894.4842,894.50665,895.0365,0.0,0.0,
894.45404,894.4842,894.50665,895.0365,0.0,0.0,
894.43164,894.4842,894.50665,895.0365,0.0,0.0,
894.41675,894.4842,894.50665,895.0365,0.0,0.0,
894.4217,894.44336,894.44336,895.0365,0.0,0.0,
894.4211,894.44336,894.44336,895.0365,0.0,0.0,
894.41284,894.44336,894.44336,895.0365,0.0,0.0,
894.4142,894.44336,894.44336,895.0365,0.0,0.0,
894.4175,894.44336,894.44336,895.0365,0.0,0.0,
894.4175,894.44336,894.44336,895.0365,0.0,0.0,
894.4086,894.4166,894.44336,895.0365,0.0,0.0,
894.3987,894.4166,894.44336,895.0365,0.0,0.0,
894.3987,894.4166,894.44336,895.0365,0.0,0.0,
894.38513,894.4166,894.44336,895.0365,0.0,0.0,
894.37463,894.4166,894.44336,895.0365,0.0,0.0,
894.36804,894.4166,894.44336,895.0365,0.0,0.0,
894.3644,894.3851,894.3851,895.0365,0.0,0.0,
894.35645,894.3851,894.3851,895.0365,0.0,0.0,
894.34454,894.3851,894.3851,895.0365,0.0,0.0,
894.34125,894.3851,894.3851,895.0365,0.0,0.0,
894.3396,894.3851,894.3851,895.0365,0.0,0.0,
894.32965,894.3851,894.3851,895.0365,0.0,0.0,
894.32635,894.3423,894.3851,895.0365,0.0,0.0,
894.32306,894.3423,894.3851,895.0365,0.0,0.0,
894.31506,894.3423,894.3851,895.0365,0.0,0.0,
894.3101,894.3423,894.3851,895.0365,0.0,0.0,
894.314,894.3423,894.3851,895.0365,0.0,0.0,
894.3085,894.3423,894.3851,895.0365,0.0,0.0,
894.3157,894.31415,894.31415,895.0365,0.0,0.0,
894.314,894.31415,894.31415,895.0365,0.0,0.0,
894.3193,894.31415,894.31415,895.0365,0.0,0.0,
894.3209,894.31415,894.31415,895.0365,0.0,0.0,
894.3166,894.31415,894.31415,895.0365,0.0,0.0,
894.3127,894.31415,894.31415,895.0365,0.0,0.0,
894.31104,894.3167,894.31415,895.0365,0.0,0.0,
894.31494,894.3167,894.31415,895.0365,0.0,0.0,
894.3199,894.3167,894.31415,895.0365,0.0,0.0,
894.3166,894.3167,894.31415,895.0365,0.0,0.0,
894.3202,894.3167,894.31415,895.0365,0.0,0.0,
894.3133,894.3167,894.31415,895.0365,0.0,0.0,
894.3133,894.317,894.317,895.0365,0.0,0.0,
894.3133,894.317,894.317,895.0365,0.0,0.0,
894.30835,894.317,894.317,895.0365,0.0,0.0,
894.30334,894.317,894.317,895.0365,0.0,0.0,
894.31104,894.317,894.317,895.0365,0.0,0.0,
894.3127,894.317,894.317,895.0365,0.0,0.0,
894.319,894.3097,894.317,895.0365,0.0,0.0,
894.3167,894.3097,894.317,895.0365,0.0,0.0,
894.324,894.3097,894.317,895.0365,0.0,0.0,
894.33655,894.3097,894.317,895.0365,0.0,0.0,
894.33655,894.3097,894.317,895.0365,0.0,0.0,
894.34155,894.3097,894.317,895.0365,0.0,0.0,
894.33826,894.33105,894.33105,895.0365,0.0,0.0,
894.33325,894.33105,894.33105,895.0365,0.0,0.0,
894.3316,894.33105,894.33105,895.0365,0.0,0.0,
894.32635,894.33105,894.33105,895.0365,0.0,0.0,
894.3208,894.33105,894.33105,895.0365,0.0,0.0,
894.3158,894.33105,894.33105,895.0365,0.0,0.0,
894.32214,894.32556,894.33105,895.0365,0.0,0.0,
894.31885,894.32556,894.33105,895.0365,0.0,0.0,
894.31226,894.32556,894.33105,895.0365,0.0,0.0,
894.305,894.32556,894.33105,895.0365,0.0,0.0,
894.31226,894.32556,894.33105,895.0365,0.0,0.0,
894.3241,894.32556,894.33105,895.0365,0.0,0.0,
894.3241,894.31445,894.31445,895.0365,0.0,0.0,
894.3313,894.31445,894.31445,895.0365,0.0,0.0,
894.33826,894.31445,894.31445,895.0365,0.0,0.0,
894.33655,894.31445,894.31445,895.0365,0.0,0.0,
894.33716,894.31445,894.31445,895.0365,0.0,0.0,
894.34045,894.31445,894.31445,895.0365,0.0,0.0,
894.3507,894.33673,894.31445,895.0365,0.0,0.0,
894.3497,894.33673,894.31445,895.0365,0.0,0.0,
894.33014,894.33673,894.31445,895.0365,0.0,0.0,
894.3324,894.33673,894.31445,895.0365,0.0,0.0,
894.3277,894.33673,894.31445,895.0365,0.0,0.0,
894.3101,894.33673,894.31445,895.0365,0.0,0.0,
894.3071,894.32996,894.32996,895.0365,0.0,0.0,
894.3064,894.32996,894.32996,895.0365,0.0,0.0,
894.2948,894.32996,894.32996,895.0365,0.0,0.0,
894.2904,894.32996,894.32996,895.0365,0.0,0.0,
894.2825,894.32996,894.32996,895.0365,0.0,0.0,
894.2764,894.32996,894.32996,895.0365,0.0,0.0,
894.27673,894.29016,894.32996,895.0365,0.0,0.0,
894.27734,894.29016,894.32996,895.0365,0.0,0.0,
894.28064,894.29016,894.32996,895.0365,0.0,0.0,
894.27466,894.29016,894.32996,895.0365,0.0,0.0,
894.2673,894.29016,894.32996,895.0365,0.0,0.0,
894.2643,894.29016,894.32996,895.0365,0.0,0.0,
894.2682,894.2728,894.2728,895.0365,0.0,0.0,
894.25946,894.2728,894.2728,895.0365,0.0,0.0,
894.2568,894.2728,894.2728,895.0365,0.0,0.0,
894.25635,894.2728,894.2728,895.0365,0.0,0.0,
894.242,894.2728,894.2728,895.0365,0.0,0.0,
894.2324,894.2728,894.2728,895.0365,0.0,0.0,
894.2399,894.2494,894.2728,895.0365,0.0,0.0,
894.24054,894.2494,894.2728,895.0365,0.0,0.0,
